因子,IC均值,IC标准差,ICIR,IC>0占比,t统计量,p值
pe_factor,-0.1739,0.1208,-1.4392,0.0915,-44.1264,0.0
vol_x_bias,-0.1134,0.0897,-1.2642,0.1149,-38.7595,0.0
bias_20,-0.1123,0.0905,-1.24,0.1287,-38.018,0.0
mom_20,-0.1077,0.1057,-1.0185,0.167,-31.2272,0.0
rsi_x_mom5,0.1057,0.1255,0.8426,0.7851,25.8331,0.0
rsi_14,-0.0801,0.0952,-0.8417,0.2,-25.8058,0.0
pe_z20,-0.0829,0.0994,-0.8336,0.1957,-25.5567,0.0
bb_pct,-0.0779,0.0952,-0.818,0.2149,-25.0782,0.0
pe_rank_60,-0.0986,0.1277,-0.7723,0.2543,-23.6794,0.0
macd_factor,-0.0683,0.0927,-0.7371,0.217,-22.6005,0.0
pe_x_mom20,0.0707,0.1188,0.5956,0.7266,18.2607,0.0
ret_3d,-0.0525,0.0923,-0.5693,0.2734,-17.4535,0.0
mom_5,-0.0601,0.1089,-0.5519,0.2553,-16.9212,0.0
price_vol_diverge,-0.04,0.0947,-0.4219,0.3511,-12.9339,0.0
ret_1d_rev,0.0417,0.1003,0.4159,0.6511,12.7509,0.0
basis_change,-0.0467,0.1213,-0.3848,0.3277,-11.7987,0.0
ret_2d,-0.0506,0.1443,-0.351,0.3968,-10.7606,0.0
pe_change_rate,-0.0333,0.0985,-0.3382,0.3755,-10.3704,0.0
pe_change,-0.0328,0.0982,-0.3343,0.3787,-10.2501,0.0
basis_z20,-0.0427,0.1566,-0.2726,0.4213,-8.3563,0.0
macd_slope,-0.0282,0.1125,-0.2507,0.4064,-7.6875,0.0
vol_20,0.0296,0.1373,0.2153,0.5766,6.6022,0.0
basis_accel,0.0207,0.1303,0.1586,0.566,4.8615,0.0
turnover_factor,-0.0177,0.1192,-0.1488,0.3989,-4.5607,0.0
bb_pct_change,-0.0118,0.0966,-0.1226,0.4606,-3.7582,0.0002
vol_ratio,-0.0073,0.1316,-0.0556,0.55,-1.7045,0.0886
turnover_z20,-0.0029,0.1086,-0.0266,0.4713,-0.8151,0.4152
basis_pct,0.0039,0.1629,0.0239,0.4617,0.7322,0.4643
macd_accel,-0.0013,0.1019,-0.0133,0.5319,-0.4063,0.6846
basis_factor,0.002,0.1607,0.0124,0.4553,0.3804,0.7037
