因子,组1均收益,组5均收益,多空收益
mom_5,0.001,0.001,-0.0
mom_20,0.0007,0.0008,0.0001
vol_20,0.0005,0.0022,0.0016
bias_20,0.0006,0.0014,0.0008
macd_factor,0.0011,0.0017,0.0006
macd_slope,0.0009,0.0008,-0.0001
macd_accel,0.0008,0.0016,0.0008
turnover_factor,-0.0005,0.0008,0.0013
turnover_z20,-0.0001,0.0018,0.0019
basis_factor,0.0014,0.0009,-0.0005
basis_z20,0.0012,-0.0003,-0.0015
basis_change,0.0017,-0.0012,-0.003
basis_accel,0.0009,0.0003,-0.0007
basis_pct,0.0016,0.001,-0.0006
rsi_14,0.0006,0.0013,0.0007
bb_pct,0.0004,0.0019,0.0014
bb_pct_change,0.0012,0.0004,-0.0007
ret_1d_rev,0.0004,0.0015,0.0011
ret_2d,0.0007,0.0005,-0.0002
ret_3d,0.001,0.0011,0.0001
vol_ratio,0.0004,0.0013,0.0009
price_vol_diverge,0.001,0.0005,-0.0005
pe_factor,0.0005,0.0006,0.0001
pe_z20,0.0006,0.0009,0.0003
pe_change,0.0021,0.0005,-0.0015
pe_change_rate,0.0019,0.0006,-0.0013
pe_rank_60,0.0005,0.001,0.0004
pe_x_mom20,-0.0006,0.0009,0.0015
vol_x_bias,0.0012,0.0016,0.0003
rsi_x_mom5,-0.0016,0.0006,0.0022
